number,type
2,intel xeon 6234
2,intel core i7-4790t
2,intel xeon 6242
2,intel xeon 7110m
2,amd epyc 7401p
2,amd phenom ii x2 521
2,intel core i7-4710mq
2,amd epyc 7352
2,intel core i7-3820qm
2,intel xeon e3-1246 v3
2,intel xeon e3-1245
2,intel xeon e3-1241 v3
2,intel xeon e3-1240l v5
2,intel xeon e3-1240 v6
2,intel xeon e3-1240
2,intel xeon e3-1235
2,intel core i7-3940xm
2,intel core i7-4765t
2,amd epyc 7272
2,intel xeon e3-1226 v3
2,amd processor
2,amd epyc 7302
2,intel core i7-4610m
2,amd pro a10-7850b
2,intel xeon 4208
2,intel core i7-4930mx
2,amd fx-4200
2,intel core i7-4940mx
2,intel i5-9400
2,intel core i7-860s
2,amd phenom ii x4 905e
2,amd opteron 6134
2,amd opteron 6164
2,amd opteron 6234
2,amd opteron 6238
2,intel i7-2710qe
2,intel i5-460m
2,amd phenom ii x4 910
2,intel core i9-9820x
2,intel core i9-7960x
2,intel core i9-7920x
2,intel core i9 10900k
2,amd phenom ii 521
2,intel core i7-875k
2,amd phenom ii x 6 1055t
2,intel xeon e3-1265l
2,amd opteron 4334
2,intel xeon 3040
2,intel core i7-5960x
2,intel xeon 3000dp
2,amd phenom x 4    9550
2,intel xeon  e5-1428l v2
2,amd epyc 7f52
2,intel core i7-940xm
2,intel pentium p6100
2,amd phenom x 4    9100e
2,amd fx-8140
2,intel core i7-7740x
2,intel core i7-620m
2,intel pentium g5400
2,intel pentium g3450
2,intel core i7-6900k
2,amd phenom ii x4 b97
2,intel pentium g3420
2,intel pentium g3260
2,intel xeon e3-1260l
2,amd athlon x2 5400+
2,amd athlon xp 2600+
2,intel xeon e3-1270 v3
2,amd a6-3410mx
2,intel xeon gold 6130
2,amd a6-5300m
2,amd a6-5400
2,amd a6-5400b
2,intel xeon gold 5115
2,intel xeon e7-8891v4 sr2sq
2,intel xeon e7-8891v3 sr225
2,intel xeon e7-8837
2,intel xeon e5630
