soldprice,date,link
207.0,2021-04-12 08:37:30,https://www.ebay.com/itm/AMD-Ryzen-3-Pro-4350g-r3-Pro-4350g-3-8ghz-4-core-interface-am4-CPU-processor-/174729253214
284.0,2021-04-12 08:30:04,https://www.ebay.com/itm/AMD-Ryzen-5-Pro-4650g-6-Core-3-7ghz-interface-am4-CPU-processor-/174729250110
495.0,2021-04-12 08:21:15,https://www.ebay.com/itm/AMD-Ryzen7-PRO-4750G-R7-PRO-4750G-3-6GHz-8-Cores-Socket-AM4-CPU-Processor-/174729246125
814.0,2021-04-11 19:50:59,https://www.ebay.com/itm/AMD-Ryzen-9-5900X-Desktop-Processor-Never-used-/303955864314
298.0,2021-04-10 23:39:08,https://www.ebay.com/itm/Lot-2qty-AMD-CPU-Ryzen-7-1700X-Octa-Core-3-4GHz-16M-L3-AM4-Tested-Working-/233962881025
745.0,2021-04-10 23:20:43,https://www.ebay.com/itm/Lot-6qty-AMD-CPU-Ryzen-3-2200G-Quad-Core-3-5GHz-4M-L3-AM4-Tested-Working-/233962869269
449.99,2021-04-10 20:23:00,https://www.ebay.com/itm/AORUS-PRO-P-B550M-Motherboard-AMD-Ryzen-5-5600X-Processor-Cooler-/184757135536
379.49,2021-04-10 02:22:31,https://www.ebay.com/itm/AMD-Ryzen-Threadripper-1950X-3-4GHz-16-Core-Socket-TR4-CPU-Processor-/124674605109
233.18,2021-04-10 01:37:26,https://www.ebay.com/itm/RARE-FACTORY-SEAL-RETAIL-BOX-AMD-Athlon-X2-7850-Black-Edition-AM2-AD785ZWCJ2BGH-/265118546818
249.99,2021-04-10 00:11:53,https://www.ebay.com/itm/AMD-RYZEN-5-2400G-Quad-Core-3-9GHz-Turbo-Socket-AM4-CPU-Processor-BUNDLE-/144003306582
225.0,2021-04-09 13:43:45,https://www.ebay.com/itm/RYZEN-7-2700x-AMD-WRAITH-SPIRE-COOLER-BUNDLE-/194026216207
450.0,2021-04-08 17:29:27,https://www.ebay.com/itm/AMD-Ryzen-7-5800X-Desktop-Processor-4-7GHz-8-Cores-Socket-AM4-Box-/174724604308
528.94,2021-04-08 14:08:49,https://www.ebay.com/itm/OB-AMD-Ryzen-7-5800X-8-core-16-Thread-Unlocked-Desktop-Processor-Without-/133720018705
294.99,2021-04-08 08:34:25,https://www.ebay.com/itm/AMD-EPYC-7351P-Processor-PS735PBEVGPAF-16Core-2-4GHz-64MB-SP3-CPU-/265116500852
648.0,2021-04-08 03:33:22,https://www.ebay.com/itm/AMD-Ryzen-7-5800X-R7-5800X-3-8GHz-8Core-16Thr-Socket-AM4-105W-CPU-Processor-/174723928568
459.0,2021-04-08 03:26:12,https://www.ebay.com/itm/AMD-Ryzen-5-5600X-R5-5600X-3-7GHz-6Core-12Thr-Socket-AM4-65W-CPU-Processor-/174723924034
649.99,2021-04-07 16:08:46,https://www.ebay.com/itm/AMD-Ryzen-9-3950X-16-Core-32-Thread-Retail-AM4-Processor-4-7-GHZ-Boost-/274749902927
200.0,2021-04-07 02:49:25,https://www.ebay.com/itm/Lot-20-units-AMD-APU-A6-3650-2-6GHz-Socket-FM1-/184750946599
797.0,2021-04-06 17:18:59,https://www.ebay.com/itm/AMD-Ryzen-9-5900X-Desktop-Processor-4-8GHz-12-Cores-Socket-AM4-/184750373417
400.0,2021-04-06 08:20:50,https://www.ebay.com/itm/Lot-20-Units-AMD-CPU-Phenom-II-X4-960T-3-0GHz-Socket-AM3-/184749204747
435.0,2021-04-06 07:19:48,https://www.ebay.com/itm/AMD-RYZEN-9-3900-X-CPU-/363345318515
400.0,2021-04-06 05:13:14,https://www.ebay.com/itm/AMD-Ryzen-YD195XA8AEWOF-Threadripper-1950X-Cache-32-MB-16-Core-3-4-GHz-Processo-/203338025203
380.0,2021-04-05 20:00:30,https://www.ebay.com/itm/10-AMD-Phenom-II-X6-1055T-2-8GHz-6-Core-Desktop-Processor-CPU-HDT55TFBK6DGR-/124668584964
649.99,2021-04-05 19:01:41,https://www.ebay.com/itm/AMD-YD295XA8UGAAF-Ryzen-Threadripper-2950x-16-Core-32-Threads-3-5GHz-Zen-CPU-/224413344440
399.0,2021-04-05 06:33:15,https://www.ebay.com/itm/AMD-PS7281BEVGAAF-EPYC-7281-2-1GHZ-16Core-Processor-/284246293359
499.0,2021-04-05 06:29:31,https://www.ebay.com/itm/AMD-PS7301BEVGPAF-EPYC-7301-2-2GHZ-16Core-Processor-/284246292367
599.0,2021-04-05 06:20:20,https://www.ebay.com/itm/AMD-PS7401BEVHCAF-EPYC-7401-2-0GHZ-24Core-Processor-/284246288855
830.0,2021-04-05 06:13:11,https://www.ebay.com/itm/AMD-Ryzen-7-5800X-R7-5800X-3-8GHz-8Core-16Thr-Socket-AM4-105W-CPU-Processor-/353444189251
455.0,2021-04-05 06:07:54,https://www.ebay.com/itm/AMD-Ryzen-7-3700X-R7-3700X-3-6GHz-8Core-16T-32MB-65W-AM4-CPU-Processor-/353444186763
469.0,2021-04-05 05:57:13,https://www.ebay.com/itm/AMD-Ryzen-5-5600X-R5-5600X-3-7GHz-6CORE-12Thr-Socket-AM4-65W-CPU-Processor-/353444178658
360.0,2021-04-05 03:50:53,https://www.ebay.com/itm/Lot-30-units-AMD-CPU-Athlon-II-X4-645-3-1GHz-Socket-AM3-/184747004950
297.41,2021-04-03 03:46:19,https://www.ebay.com/itm/Processor-AMD-CPU-Ryzen-7-2700X-3-7GHz-8-Core-YD270XBGM88AF-Socket-AM4-105W-/284243583378
238.99,2021-04-02 03:26:56,https://www.ebay.com/itm/AMD-Ryzen-2nd-Gen-7-2700X-4-3-GHz-Eight-Core-16-thread-Processor-/284242282289
207.78,2021-04-01 21:53:53,https://www.ebay.com/itm/AMD-AM4-3rd-R5-Ryzen-5-3600X-3-8-GHz-4-4-GHz-Turbo-6-Core-Desktop-CPU-Processor-/384073696290
210.0,2021-04-01 07:55:59,https://www.ebay.com/itm/AMD-procesador-AMD-Ryzen-5-R5-3600-3-6-GHz-seis-nucleos-y-12-hilos-7NM-65W-/133710919593
216.8,2021-03-31 20:34:26,https://www.ebay.com/itm/AMD-FX-9590-4-7GHz-8-core-Socket-AM3-220W-CPU-Processor-/313474956976
